Position,Level,Salary
Senior Consultant #426,3,60000
CEO #211,10,1000000
Senior Partner #989,8,300000
C-level #34,9,500000
Business Analyst #251,1,45000
Senior Partner #783,8,300000
Junior Consultant #679,2,50000
Senior Partner #476,8,300000
Country Manager #217,5,110000
Junior Consultant #971,2,50000
CEO #983,10,1000000
Country Manager #302,5,110000
Senior Partner #565,8,300000
Country Manager #534,5,110000
Manager #3,4,80000
Junior Consultant #535,2,50000
Junior Consultant #123,2,50000
Junior Consultant #665,2,50000
Manager #709,4,80000
Region Manager #834,6,150000
Partner #100,7,200000
Senior Consultant #191,3,60000
Country Manager #539,5,110000
Country Manager #914,5,110000
CEO #591,10,1000000
C-level #803,9,500000
C-level #24,9,500000
CEO #670,10,1000000
Region Manager #929,6,150000
Country Manager #82,5,110000
Senior Partner #871,8,300000
Partner #631,7,200000
Country Manager #449,5,110000
Region Manager #759,6,150000
Manager #143,4,80000
Manager #469,4,80000
Manager #200,4,80000
Junior Consultant #718,2,50000
Senior Partner #587,8,300000
Senior Consultant #813,3,60000
Region Manager #265,6,150000
Senior Partner #255,8,300000
Business Analyst #189,1,45000
Senior Consultant #822,3,60000
C-level #862,9,500000
Senior Partner #29,8,300000
Business Analyst #781,1,45000
Senior Consultant #250,3,60000
Senior Consultant #501,3,60000
Junior Consultant #349,2,50000
Manager #41,4,80000
Partner #37,7,200000
Senior Partner #450,8,300000
Region Manager #4,6,150000
C-level #350,9,500000
C-level #825,9,500000
Business Analyst #923,1,45000
Partner #714,7,200000
Junior Consultant #571,2,50000
Partner #551,7,200000
Region Manager #432,6,150000
Junior Consultant #968,2,50000
Partner #94,7,200000
CEO #319,10,1000000
CEO #419,10,1000000
Business Analyst #118,1,45000
Partner #239,7,200000
Senior Partner #206,8,300000
C-level #307,9,500000
Senior Partner #735,8,300000
CEO #415,10,1000000
C-level #938,9,500000
Manager #337,4,80000
Senior Consultant #967,3,60000
Senior Consultant #930,3,60000
Senior Partner #958,8,300000
Senior Consultant #497,3,60000
Senior Partner #343,8,300000
Partner #116,7,200000
Senior Partner #12,8,300000
C-level #359,9,500000
Business Analyst #887,1,45000
Manager #357,4,80000
Junior Consultant #845,2,50000
Senior Partner #276,8,300000
Country Manager #503,5,110000
CEO #455,10,1000000
Region Manager #852,6,150000
Country Manager #176,5,110000
CEO #575,10,1000000
Junior Consultant #130,2,50000
C-level #731,9,500000
Senior Consultant #800,3,60000
Senior Consultant #435,3,60000
CEO #185,10,1000000
Senior Partner #409,8,300000
C-level #664,9,500000
Country Manager #647,5,110000
Junior Consultant #500,2,50000
Senior Partner #539,8,300000
CEO #523,10,1000000
C-level #142,9,500000
C-level #289,9,500000
Senior Consultant #951,3,60000
Senior Consultant #5,3,60000
CEO #67,10,1000000
Partner #932,7,200000
Region Manager #14,6,150000
C-level #759,9,500000
CEO #967,10,1000000
CEO #383,10,1000000
Region Manager #243,6,150000
Manager #680,4,80000
Country Manager #823,5,110000
C-level #434,9,500000
Partner #376,7,200000
Business Analyst #516,1,45000
Business Analyst #192,1,45000
C-level #36,9,500000
Senior Consultant #989,3,60000
Senior Partner #813,8,300000
Senior Partner #936,8,300000
Business Analyst #935,1,45000
Region Manager #354,6,150000
Senior Consultant #533,3,60000
Senior Partner #371,8,300000
Partner #753,7,200000
Manager #296,4,80000
